cluster	cluster_id	num_samples	representative	feature	feature_alt	gene	gene_alt	product	product_alt	name	name_alt	dbxref	dbxref_alt	6952-4-17	6952-4-19	6999-1-11	6999-1-3	6999-5-12	6999-5-5	6999-7-20	7001-3-2	7553-4-28	7622-3-93	7622-4-37	7622-4-48	7622-5-52	7622-5-56	7622-5-93
Cluster_11	Cluster_11	15	6952-4-17_LCDOPKNNMA_118	regulatory_region				23S methyl RNA motif		23S methyl RNA motif		RFAM:RF01065,SO:0005836		6952-4-17_LCDOPKNNMA_118	6952-4-19_IDAKCOMANN_94	6999-1-11_GAMHDOLNIF_108	6999-1-3_MFDHOJACBE_107	6999-5-12_GABGCOFCDB_105	6999-5-5_IEJANNHHMP_103	6999-7-20_BDNIPIMNEB_115	7001-3-2_ILCIHPINGC_106	7553-4-28_BBELPCEAHD_93	7622-3-93_BNKJJALABE_95	7622-4-37_HCELOAPBLE_100	7622-4-48_OIGNLOAINF_108	7622-5-52_DJJKEIGIHN_121	7622-5-56_HCMIMPIGDA_96	7622-5-93_FBDJDOPBJI_97
Cluster_12	Cluster_12	15	6952-4-17_LCDOPKNNMA_118__6952-4-17_LCDOPK_07955	unannotated										6952-4-17_LCDOPKNNMA_118__6952-4-17_LCDOPK_07955	6952-4-19_IDAKCOMANN_94__6952-4-19_IDAKCO_03410	6999-1-11_GAMHDOLNIF_108__6999-1-11_GAMHDO_06615	6999-1-3_MFDHOJ_09020__6999-1-3_MFDHOJACBE_107	6999-5-12_GABGCO_05800__6999-5-12_GABGCOFCDB_105	6999-5-5_IEJANNHHMP_103__6999-5-5_IEJANN_06950	6999-7-20_BDNIPIMNEB_115__6999-7-20_BDNIPI_07930	7001-3-2_ILCIHPINGC_106__7001-3-2_ILCIHP_07240	7553-4-28_BBELPCEAHD_93__7553-4-28_BBELPC_06740	7622-3-93_BNKJJALABE_95__7622-3-93_BNKJJA_04105	7622-4-37_HCELOAPBLE_100__7622-4-37_HCELOA_00075	7622-4-48_OIGNLOAINF_108__7622-4-48_OIGNLO_07535	7622-5-52_DJJKEIGIHN_121__7622-5-52_DJJKEI_10240	7622-5-56_HCMIMPIGDA_96__7622-5-56_HCMIMP_06790	7622-5-93_FBDJDOPBJI_97__7622-5-93_FBDJDO_07700
rsuA.1	Cluster_13	15	6952-4-17_LCDOPKNNMA_2172__6952-4-17_LCDOPK_01430	CDS	unannotated	rsuA		Pseudouridylate synthase RsuA, specific for 16S rRNA U516 and 23S rRNA U2605	Chlorohydrolase	Pseudouridylate synthase RsuA, specific for 16S rRNA U516 and 23S rRNA U2605	Chlorohydrolase	COG:COG1187,COG:J,RefSeq:WP_001234899.1,SO:0001217,UniParc:UPI0000051391,UniRef:UniRef100_A0A064C1L2,UniRef:UniRef50_A0A4J1RXE1,UniRef:UniRef90_A0A4J1RXE1	COG:COG1187,COG:J,SO:0001217,UniRef:UniRef50_A0A4J1RXE1,UniRef:UniRef90_A0A4J1RXE1;SO:0001217,UniRef:UniRef50_A5LLQ5,UniRef:UniRef90_A0A1X1JHK7;COG:COG1187,COG:J,RefSeq:WP_001234902.1,SO:0001217,UniParc:UPI000152C7D8,UniRef:UniRef100_A0A0B7LLI5,UniRef:UniRef50_A0A4J1RXE1,UniRef:UniRef90_A0A4J1RXE1	6952-4-17_LCDOPKNNMA_2172__6952-4-17_LCDOPK_01430	6952-4-19_IDAKCO_01070	6999-1-11_GAMHDO_01135	6999-1-3_MFDHOJ_00140,6999-1-3_MFDHOJ_00140__6999-1-3_MFDHOJ_00145	6999-5-12_GABGCO_00145	6999-5-5_IEJANN_00140,6999-5-5_IEJANN_00140__6999-5-5_IEJANN_00145	6999-7-20_BDNIPI_01200,6999-7-20_BDNIPI_01200__6999-7-20_BDNIPI_01205	7001-3-2_ILCIHP_00285	7553-4-28_BBELPCEAHD_2146__7553-4-28_BBELPC_00150,7553-4-28_BBELPC_00145,7553-4-28_BBELPC_00150,7553-4-28_BBELPC_09260,7553-4-28_BBELPC_09260__END	7622-3-93_BNKJJA_00275	7622-4-37_HCELOA_00960	7622-4-48_OIGNLO_07715__7622-4-48_OIGNLO_07720,7622-4-48_OIGNLO_07720	7622-5-52_DJJKEI_01355__7622-5-52_DJJKEI_01360,7622-5-52_DJJKEI_01360	7622-5-56_HCMIMP_00275	7622-5-93_FBDJDO_01185
Cluster_14	Cluster_14	8	6952-4-17_LCDOPKNNMA_2177__END	unannotated										6952-4-17_LCDOPKNNMA_2177__END,START__6952-4-17_LCDOPK_10685						6999-7-20_BDNIPI_09710__END,6999-7-20_BDNIPI_09715__6999-7-20_BDNIPI_09720,6999-7-20_BDNIPI_10230__END,6999-7-20_BDNIPI_11155__END			7622-3-93_BNKJJA_00920__7622-3-93_BNKJJA_00925	7622-4-37_HCELOA_10880__7622-4-37_HCELOA_10885,7622-4-37_contig_48	7622-4-48_OIGNLO_08295__7622-4-48_OIGNLO_08300	7622-5-52_DJJKEI_11060__END,7622-5-52_contig_40,START__7622-5-52_DJJKEI_10405	START__7622-5-56_HCMIMP_09840	7622-5-93_FBDJDOPBJI_2162__7622-5-93_FBDJDO_00620,START__7622-5-93_FBDJDO_10135
Cluster_15	Cluster_15	15	6952-4-17_LCDOPK_00105__6952-4-17_LCDOPK_00110	unannotated										6952-4-17_LCDOPK_00105__6952-4-17_LCDOPK_00110	6952-4-19_IDAKCO_09185__6952-4-19_IDAKCO_09190	6999-1-11_GAMHDO_04990__6999-1-11_GAMHDO_04995	6999-1-3_MFDHOJ_01900__6999-1-3_MFDHOJ_01905	6999-5-12_GABGCO_09340__6999-5-12_GABGCO_09345	6999-5-5_IEJANN_09355__6999-5-5_IEJANN_09360	6999-7-20_BDNIPI_10545__6999-7-20_BDNIPI_10550	7001-3-2_ILCIHP_09530__7001-3-2_ILCIHP_09535	7553-4-28_BBELPC_09555__7553-4-28_BBELPC_09560	7622-3-93_BNKJJA_08735__7622-3-93_BNKJJA_08740	7622-4-37_HCELOA_08280__7622-4-37_HCELOA_08285	7622-4-48_OIGNLO_08405__7622-4-48_OIGNLO_08410	7622-5-52_DJJKEI_03050__7622-5-52_DJJKEI_03055	7622-5-56_HCMIMP_08490__7622-5-56_HCMIMP_08495	7622-5-93_FBDJDO_08955__7622-5-93_FBDJDO_08960
Cluster_16	Cluster_16	15	6952-4-17_LCDOPK_00190__6952-4-17_LCDOPK_00195	unannotated										6952-4-17_LCDOPK_00190__6952-4-17_LCDOPK_00195	6952-4-19_IDAKCO_03085__6952-4-19_IDAKCO_03090	6999-1-11_GAMHDO_00070__6999-1-11_GAMHDO_00075	6999-1-3_MFDHOJ_02080__6999-1-3_MFDHOJ_02085	6999-5-12_GABGCO_01265__6999-5-12_GABGCO_01270	6999-5-5_IEJANN_03215__6999-5-5_IEJANN_03220	6999-7-20_BDNIPI_02890__6999-7-20_BDNIPI_02895	7001-3-2_ILCIHP_03935__7001-3-2_ILCIHP_03940	7553-4-28_BBELPC_01505__7553-4-28_BBELPC_01510	7622-3-93_BNKJJA_07370__7622-3-93_BNKJJA_07375	7622-4-37_HCELOA_08365__7622-4-37_HCELOA_08370	7622-4-48_OIGNLO_01085__7622-4-48_OIGNLO_01090	7622-5-52_DJJKEI_03135__7622-5-52_DJJKEI_03140	7622-5-56_HCMIMP_06400__7622-5-56_HCMIMP_06405	7622-5-93_FBDJDO_07155__7622-5-93_FBDJDO_07160
apbE	Cluster_17	15	6952-4-17_LCDOPK_00195	CDS		apbE		FAD:protein FMN transferase ApbE		FAD:protein FMN transferase ApbE		COG:COG1477,COG:HO,RefSeq:WP_000175407.1,SO:0001217,UniParc:UPI000005186D,UniRef:UniRef100_A0A0B7L386,UniRef:UniRef50_A0A0Z8EMZ2,UniRef:UniRef90_D3H9T3	COG:COG1477,COG:HO,EC:2.7.1.180,KEGG:K03734,SO:0001217,UniRef:UniRef50_A0A0Z8EMZ2,UniRef:UniRef90_UPI0005E9FC2D;COG:COG1477,COG:HO,RefSeq:WP_054387442.1,SO:0001217,UniParc:UPI0005E958D0,UniRef:UniRef100_UPI0005E958D0,UniRef:UniRef50_A0A0Z8EMZ2,UniRef:UniRef90_D3H9T3	6952-4-17_LCDOPK_00195	6952-4-19_IDAKCO_03085	6999-1-11_GAMHDO_00075	6999-1-3_MFDHOJ_02085	6999-5-12_GABGCO_01270	6999-5-5_IEJANN_03220	6999-7-20_BDNIPI_02890	7001-3-2_ILCIHP_03935	7553-4-28_BBELPC_01510	7622-3-93_BNKJJA_07370	7622-4-37_HCELOA_08370	7622-4-48_OIGNLO_01090	7622-5-52_DJJKEI_03140	7622-5-56_HCMIMP_06405	7622-5-93_FBDJDO_07160
ampC	Cluster_18	15	6952-4-17_LCDOPK_00295	CDS		ampC		CubicO group peptidase, beta-lactamase class C family		CubicO group peptidase, beta-lactamase class C family		COG:COG1680,COG:V,RefSeq:WP_000872220.1,SO:0001217,UniParc:UPI000198BC65,UniRef:UniRef100_A0A0B7M8X2,UniRef:UniRef50_A0A0F2DBM3,UniRef:UniRef90_A0A0E9GJV5	COG:COG1680,COG:V,RefSeq:WP_000872225.1,SO:0001217,UniParc:UPI00020A2793,UniRef:UniRef100_A0A0T7SU33,UniRef:UniRef50_A0A0F2DBM3,UniRef:UniRef90_A0A0E9GJV5;COG:COG1680,COG:V,SO:0001217,UniRef:UniRef50_A0A0N7JDI3,UniRef:UniRef90_A0A3R9PK31;COG:COG1680,COG:V,RefSeq:WP_000872226.1,SO:0001217,UniParc:UPI0002735656,UniRef:UniRef100_A0A9P1RIC9,UniRef:UniRef50_A0A0F2DBM3,UniRef:UniRef90_A0A0E9GJV5	6952-4-17_LCDOPK_00295	6952-4-19_IDAKCO_02985	6999-1-11_GAMHDO_00175	6999-1-3_MFDHOJ_02185	6999-5-12_GABGCO_01370	6999-5-5_IEJANN_03320	6999-7-20_BDNIPI_02790	7001-3-2_ILCIHP_03835	7553-4-28_BBELPC_01615	7622-3-93_BNKJJA_07270	7622-4-37_HCELOA_08470	7622-4-48_OIGNLO_01200	7622-5-52_DJJKEI_03240	7622-5-56_HCMIMP_06505	7622-5-93_FBDJDO_07260
queA	Cluster_19	15	6952-4-17_LCDOPK_00385	CDS		queA		tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA		tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA		COG:COG0809,COG:J,EC:2.4.99.17,GO:0005737,GO:0008616,GO:0016740,GO:0016853,GO:0051075,RefSeq:WP_001090153.1,SO:0001217,UniParc:UPI000152EFF6,UniRef:UniRef100_A0A0T8F287,UniRef:UniRef50_A8AYK5,UniRef:UniRef90_Q97Q15	COG:COG0809,COG:J,EC:2.4.99.17,GO:0005737,GO:0008616,GO:0016740,GO:0016853,GO:0051075,RefSeq:WP_001090149.1,SO:0001217,UniParc:UPI000152DBBA,UniRef:UniRef100_B2IQN5,UniRef:UniRef50_A8AYK5,UniRef:UniRef90_Q97Q15;COG:COG0809,COG:J,EC:2.4.99.17,GO:0005737,GO:0008616,GO:0016740,GO:0016853,GO:0051075,RefSeq:WP_001090154.1,SO:0001217,UniParc:UPI0000132E95,UniRef:UniRef100_Q97Q15,UniRef:UniRef50_A8AYK5,UniRef:UniRef90_Q97Q15;COG:COG0809,COG:J,EC:2.4.99.17,GO:0005737,GO:0008616,GO:0016740,GO:0016853,GO:0051075,SO:0001217,UniRef:UniRef50_A8AYK5,UniRef:UniRef90_Q97Q15;COG:COG0809,COG:J,EC:2.4.99.17,GO:0005737,GO:0008616,GO:0016740,GO:0016853,GO:0051075,RefSeq:WP_001090150.1,SO:0001217,UniParc:UPI000152B630,UniRef:UniRef100_A0A0T8L3V8,UniRef:UniRef50_A8AYK5,UniRef:UniRef90_Q97Q15	6952-4-17_LCDOPK_00385	6952-4-19_IDAKCO_02900	6999-1-11_GAMHDO_00270	6999-1-3_MFDHOJ_02280	6999-5-12_GABGCO_01470	6999-5-5_IEJANN_03415	6999-7-20_BDNIPI_02655	7001-3-2_ILCIHP_03740	7553-4-28_BBELPC_01705	7622-3-93_BNKJJA_01760	7622-4-37_HCELOA_05635	7622-4-48_OIGNLO_01285	7622-5-52_DJJKEI_03335	7622-5-56_HCMIMP_03630	7622-5-93_FBDJDO_03060
Cluster_20	Cluster_20	15	6952-4-17_LCDOPK_00435__6952-4-17_LCDOPK_00440	unannotated										6952-4-17_LCDOPK_00435__6952-4-17_LCDOPK_00440	6952-4-19_IDAKCO_02845__6952-4-19_IDAKCO_02850	6999-1-11_GAMHDO_00320__6999-1-11_GAMHDO_00325	6999-1-3_MFDHOJ_02330__6999-1-3_MFDHOJ_02335	6999-5-12_GABGCO_01520__6999-5-12_GABGCO_01525	6999-5-5_IEJANN_03465__6999-5-5_IEJANN_03470	6999-7-20_BDNIPI_02600__6999-7-20_BDNIPI_02605	7001-3-2_ILCIHP_03680__7001-3-2_ILCIHP_03685	7553-4-28_BBELPC_01760__7553-4-28_BBELPC_01765	7622-3-93_BNKJJA_01810__7622-3-93_BNKJJA_01815	7622-4-37_HCELOA_05580__7622-4-37_HCELOA_05585	7622-4-48_OIGNLO_01335__7622-4-48_OIGNLO_01340	7622-5-52_DJJKEI_03385__7622-5-52_DJJKEI_03390	7622-5-56_HCMIMP_03680__7622-5-56_HCMIMP_03685	7622-5-93_FBDJDO_03110__7622-5-93_FBDJDO_03115
budA	Cluster_21	15	6952-4-17_LCDOPK_00505	CDS		budA		acetolactate decarboxylase		acetolactate decarboxylase		COG:COG3527,COG:Q,EC:4.1.1.5,GO:0006113,GO:0045151,GO:0047605,SO:0001217,UniParc:UPI0005DADBF1,UniRef:UniRef100_A0A0T8NBT2,UniRef:UniRef50_Q8L208,UniRef:UniRef90_A0A0T8NBT2	COG:COG3527,COG:Q,EC:4.1.1.5,GO:0006113,GO:0045151,GO:0047605,SO:0001217,UniRef:UniRef50_Q8L208,UniRef:UniRef90_A0A4U8XCK1;COG:COG3527,COG:Q,EC:4.1.1.5,GO:0006113,GO:0045151,GO:0047605,SO:0001217,UniParc:UPI0002311EFA,UniRef:UniRef100_A0A0T8CJ60,UniRef:UniRef50_Q8L208,UniRef:UniRef90_A0A0T8NBT2	6952-4-17_LCDOPK_00505	6952-4-19_IDAKCO_02780	6999-1-11_GAMHDO_00390	6999-1-3_MFDHOJ_02400	6999-5-12_GABGCO_01590	6999-5-5_IEJANN_03535	6999-7-20_BDNIPI_02535	7001-3-2_ILCIHP_03615	7553-4-28_BBELPC_01830	7622-3-93_BNKJJA_01880	7622-4-37_HCELOA_05515	7622-4-48_OIGNLO_01405	7622-5-52_DJJKEI_03455	7622-5-56_HCMIMP_03750	7622-5-93_FBDJDO_03180
licD.1	Cluster_22	15	6952-4-17_LCDOPK_00620	CDS		licD		Phosphorylcholine metabolism protein LicD		Phosphorylcholine metabolism protein LicD		COG:COG3475,COG:I,RefSeq:WP_001839472.1,SO:0001217,UniParc:UPI000254B3BE,UniRef:UniRef100_A0A6I3UTT1,UniRef:UniRef50_K8MPY0,UniRef:UniRef90_K8MPY0	COG:COG3475,COG:I,RefSeq:WP_001826435.1,SO:0001217,UniParc:UPI0002311A36,UniRef:UniRef100_A0A0U0LBY6,UniRef:UniRef50_K8MPY0,UniRef:UniRef90_K8MPY0;COG:COG3475,COG:I,SO:0001217,UniRef:UniRef50_K8MPY0,UniRef:UniRef90_K8MPY0	6952-4-17_LCDOPK_00620	6952-4-19_IDAKCO_02665	6999-1-11_GAMHDO_00505	6999-1-3_MFDHOJ_02515	6999-5-12_GABGCO_01705	6999-5-5_IEJANN_03650	6999-7-20_BDNIPI_09150	7001-3-2_ILCIHP_03500	7553-4-28_BBELPC_01955	7622-3-93_BNKJJA_01995	7622-4-37_HCELOA_05400	7622-4-48_OIGNLO_00005,7622-4-48_OIGNLO_01520	7622-5-52_DJJKEI_03570	7622-5-56_HCMIMP_03865	7622-5-93_FBDJDO_03295
Cluster_23	Cluster_23	15	6952-4-17_LCDOPK_00725	CDS				SapB/AmfS family lantipeptide		SapB/AmfS family lantipeptide		RefSeq:WP_000807141.1,SO:0001217,UniParc:UPI00000517EC,UniRef:UniRef100_C1C7U1,UniRef:UniRef50_C0MCE0,UniRef:UniRef90_C1C7U1	RefSeq:WP_000718654.1,SO:0001217,UniParc:UPI00000517E5,UniRef:UniRef100_A0A0T8AS11,UniRef:UniRef50_C0MCE0,UniRef:UniRef90_C1C7U1;SO:0001217,UniRef:UniRef50_C0MCE0,UniRef:UniRef90_UPI0012603321	6952-4-17_LCDOPK_00725,6952-4-17_LCDOPK_00755	6952-4-19_IDAKCO_08400,6952-4-19_IDAKCO_08430	6999-1-11_GAMHDO_04400,6999-1-11_GAMHDO_04430,6999-1-11_GAMHDO_10745	6999-1-3_MFDHOJ_02620,6999-1-3_MFDHOJ_02650,6999-1-3_MFDHOJ_10830	6999-5-12_GABGCO_08905,6999-5-12_GABGCO_08935,6999-5-12_GABGCO_10400	6999-5-5_IEJANN_03755,6999-5-5_IEJANN_03785,6999-5-5_IEJANN_10495	6999-7-20_BDNIPI_03335,6999-7-20_BDNIPI_03360	7001-3-2_ILCIHP_07675,7001-3-2_ILCIHP_07700	7553-4-28_BBELPC_10470,7553-4-28_BBELPC_10495	7622-3-93_BNKJJA_10160,7622-3-93_BNKJJA_10185	7622-4-37_HCELOA_05265,7622-4-37_HCELOA_05290	7622-4-48_OIGNLO_00115,7622-4-48_OIGNLO_00145	7622-5-52_DJJKEI_05670,7622-5-52_DJJKEI_05700	7622-5-56_HCMIMP_10160,7622-5-56_HCMIMP_10185	7622-5-93_FBDJDO_10380,7622-5-93_FBDJDO_10405
